"","Date","BookToMarketRatio","TreasuryBillRate","LongTermYield","NetEquityExpansion","Inflation","LongTermRateOfReturns","StockVariance","ExcessReturn","DividendPriceRatio","DividendYield","EarningsPriceRatio","DividendPayoutRatio","TermSpread","DefaultYieldSpread","DefaultReturnSpread"
"307",1952-07-01,0.724710258978395,0.0181,0.0261,0.0279220997716689,0.00754716981132075,-0.002,0.000344881781,0.0176206666666667,-2.86318561759201,-2.84571098706874,-2.38175187206911,-0.481433745522895,0.008,0.0055,0.0036
"308",1952-08-01,0.736620127981384,0.0183,0.0267,0.0280424174360081,0,-0.007,0.000289536674,-0.007199,-2.8485115490112,-2.86318561759201,-2.36424375903824,-0.48426778997296,0.0084,0.0057,0.0133
"309",1952-09-01,0.748678910609364,0.0171,0.0277,0.0310379339167871,0,-0.013,0.000441172573,-0.01951,-2.82874088285028,-2.8485115490112,-2.34164282024525,-0.487098062605036,0.0106,0.0057,0.0112
"310",1952-10-01,0.752516435761245,0.0174,0.0269,0.0299273422128929,0,0.0148,0.001026218008,-0.00113,-2.83716117543754,-2.8379765036523,-2.3351950788076,-0.501966096629937,0.0095,0.0053,-0.0109
"311",1952-11-01,0.71423535218219,0.0185,0.0272,0.0265503179229743,0,-0.0015,0.000459089125,0.0598403333333333,-2.89193416253818,-2.8464899144187,-2.37503427023598,-0.516899892302207,0.0087,0.0055,0.0123
"312",1952-12-01,0.694073312778349,0.0209,0.0279,0.0265346446623781,0,-0.0086,0.000267717467,0.0364733333333333,-2.93619305538165,-2.90134365479741,-2.40431402241782,-0.531879032963823,0.007,0.0054,-5e-04
"313",1953-01-01,0.699175207923526,0.0196,0.0279,0.0259340301930718,-0.00374531835205982,0.0012,0.000400958877,-0.00784033333333333,-2.92901644289909,-2.93619305538165,-2.39297939978661,-0.536037043112487,0.0083,0.0049,-0.0092
"314",1953-02-01,0.712702712210223,0.0197,0.0287,0.0265152666194843,-0.00375939849624063,-0.0087,0.000490663735,-0.00918166666666667,-2.91065326431541,-2.92901644289909,-2.3704754285369,-0.540177835778518,0.009,0.0046,0.0047
"315",1953-03-01,0.762496873548433,0.0201,0.0294,0.024012723749871,0.00377358490566038,-0.0088,0.000682652466,-0.023963,-2.8868193562918,-2.91065326431541,-2.34251780332942,-0.54430155296238,0.0093,0.00449999999999999,0.0055
"316",1953-04-01,0.776706096451319,0.0219,0.0303,0.0262920178403524,0,-0.0105,0.001271594922,-0.027133,-2.8576104986739,-2.88446043859946,-2.30475234637199,-0.552858152301909,0.0084,0.0042,-0.0143
"317",1953-05-01,0.783752019979433,0.0216,0.0314,0.0272243461479636,0.00375939849624052,-0.0148,0.000593166605,0.005601,-2.85199539207614,-2.85525007354968,-2.29070403784219,-0.561291354233954,0.0098,0.0044,0.0118
"318",1953-06-01,0.795496905986729,0.0211,0.0301,0.027461193275388,0.00374531835205993,0.0223,0.001105692139,-0.0160243333333333,-2.83321334405622,-2.8496475676696,-2.26358746252569,-0.569625881530523,0.009,0.00459999999999999,-0.0114
"319",1953-07-01,0.774929188757354,0.0204,0.0301,0.0261515461240914,0,0.0039,0.000581014596,0.024614,-2.85816861740153,-2.83321334405622,-2.28324603123829,-0.574922586163243,0.0097,0.0058,0.0138
"320",1953-08-01,0.816935916086058,0.0204,0.0303,0.0280871678614214,0.00373134328358193,-8e-04,0.000681473835,-0.051801,-2.79865448986912,-2.85816861740153,-2.21845916421722,-0.580195325651899,0.0099,0.00609999999999999,-0.0077
"321",1953-09-01,0.808210877139827,0.0179,0.0284,0.02587684524439,0,0.0299,0.001105642591,0.000695333333333334,-2.79994011250174,-2.79865448986912,-2.21450362494457,-0.585436487557165,0.0105,0.0059,-0.0046
"322",1953-10-01,0.773721039846271,0.0138,0.0281,0.0246957341606625,0.00371747211895923,0.0074,0.000572851756,0.049896,-2.84262999501095,-2.79292253984309,-2.2694522420177,-0.573177752993252,0.0143,0.00659999999999999,0.0153
"323",1953-11-01,0.758431957920176,0.0144,0.0286,0.025797921879616,-0.00370370370370376,-0.0049,0.000376498263,0.022563,-2.84458633422849,-2.83566132569486,-2.28364999003998,-0.560936344188503,0.0142,0.0064,-0.0024
"324",1953-12-01,0.759700961196155,0.016,0.0274,0.024822341312708,0,0.0206,0.000417268872,0.000379666666666667,-2.83968324127123,-2.83766589138391,-2.29096404456002,-0.54871919671121,0.0114,0.0061,-0.0034
"325",1954-01-01,0.729847121994596,0.0118,0.0291,0.0233835355205044,0,0.0089,0.000498224935,0.0525026666666667,-2.88501572829216,-2.83509378893742,-2.33558927928204,-0.549426449010122,0.0173,0.0065,0.0035
"326",1954-02-01,0.724519589868948,0.0097,0.0279,0.0225629652987097,0,0.024,0.000340712561,0.0121076666666667,-2.88313452999888,-2.8804540765464,-2.33299699324586,-0.55013753675302,0.0182,0.0066,-0.0042
"327",1954-03-01,0.804915818259695,0.0103,0.0278,0.022093970539455,0,0.0058,0.000356548585,0.0296716666666667,-2.90834977019157,-2.87858678972029,-2.35751881181188,-0.55083095837969,0.0175,0.0065,-0.0019
"328",1954-04-01,0.765039301036545,0.0097,0.0273,0.0208564039608794,-0.00371747211895901,0.0104,0.000730701935,0.0475496666666667,-2.96073271674433,-2.91289751047017,-2.39624659722543,-0.564486119518901,0.0176,0.0062,-0.0138
"329",1954-05-01,0.745976976396226,0.0076,0.0279,0.0184927835476819,0.00373134328358193,-0.0087,0.000429853205,0.0421436666666667,-2.99767317609973,-2.96529436849009,-2.41959632995525,-0.578076846144481,0.0203,0.0059,0.0045
"330",1954-06-01,0.732467843972057,0.0064,0.0272,0.0183575911317174,0,0.0163,0.00093542851,0.00193366666666667,-3.00294755996717,-3.00226262843354,-2.41133679862664,-0.591610761340523,0.0208,0.0059,-0.01
"331",1954-07-01,0.702172913313405,0.0072,0.0266,0.0177076902553484,0,0.0134,0.000613306736,0.058101,-3.05395571639029,-2.99835810763336,-2.46566422204421,-0.588291494346074,0.0194,0.0061,-0.0094
"332",1954-08-01,0.727516378796903,0.0092,0.0269,0.0175274086544973,0,-0.0036,0.001144966555,-0.0266606666666667,-3.01479993801461,-3.04939406464453,-2.42979771429025,-0.585002223724358,0.0177,0.0062,0.0054
"333",1954-09-01,0.677745103478888,0.0101,0.0271,0.0168839658779187,-0.00371747211895901,-0.001,0.000691789464,0.0816583333333333,-3.09011437904576,-3.01025219773601,-2.50839293364673,-0.581721445399028,0.017,0.0058,0.005
"334",1954-10-01,0.693758164366445,0.0098,0.0271,0.0175792891855523,0,6e-04,0.000499174367,-0.0186836666666667,-3.05467704133279,-3.07436825422297,-2.47111208232643,-0.583564959006362,0.0173,0.0059,0.0034
"335",1954-11-01,0.631641544070119,0.0093,0.0274,0.0141534262028175,0,-0.0025,0.001266825747,0.094999,-3.11687740917901,-3.03916842485169,-2.5315391550607,-0.585338254118313,0.0181,0.0056,0.005
"336",1954-12-01,0.604119785355721,0.0115,0.0272,0.0269924995352009,-0.00373134328358216,0.0064,0.000882280984,0.0533296666666667,-3.15118081209685,-3.101612134848,-2.56411590832314,-0.587064903773709,0.0157,0.0055,-0.0047
"337",1955-01-01,0.597558887557175,0.0122,0.0286,0.0264119562802577,0,-0.0241,0.002517397902,0.0170593333333333,-3.16476334405058,-3.14685899578224,-2.55941487843384,-0.605348465616735,0.0164,0.0052,0.0144
"338",1955-02-01,0.593148323500134,0.0117,0.0292,0.0280445928725546,0,-0.0078,0.000604031132,0.012551,-3.16400928394309,-3.16046656324633,-2.54084849613097,-0.623160787812119,0.0175,0.0054,0.0015
"339",1955-03-01,0.607761776909934,0.0128,0.0288,0.0279681557794428,0,0.0087,0.002482548154,-0.00330866666666667,-3.15481582170127,-3.15972447622604,-2.51431237462675,-0.640503447074523,0.016,0.0046,5e-04
"340",1955-04-01,0.584987665922706,0.0159,0.029,0.0265094280975078,0,1e-04,0.000628050342,0.038518,-3.18971481215008,-3.15268348137108,-2.52248378285247,-0.667231029297611,0.0131,0.0048,-2e-04
